timestamp	commit	score	baseline	accuracy	heuristic	f1	status	description
2026-04-04T18:42:15	init	0.2100	0.0000	0.0000	0.7000	0.0000	BASELINE	Auto-generated baseline sweep
2026-04-04T19:16:17	init	0.4433	0.0000	0.3333	0.7000	0.5000	BASELINE	Schema migration: upgraded to should_trigger boolean schema
2026-04-04T18:56:18.106497	f036b4d	0.6100	0.4433	0.5714	0.7000	0.6250	BASELINE	initial baseline
2026-04-04T18:56:36.557423	94ca15c	0.6100	0.6100	0.5714	0.7000	0.6250	KEEP	re-run to generate traces
2026-04-04T18:57:13.452680	94ca15c	0.8100	0.6100	0.8571	0.7000	0.8571	KEEP	Convert -> Render, image -> PNG
2026-04-04T18:57:54.718752	46f48e6	0.8100	0.6100	0.8571	0.7000	0.8571	KEEP	Remove 'from', 'into', add 'export'
2026-04-04T18:58:08.825718	46f48e6	0.8100	0.6100	0.8571	0.7000	0.8571	KEEP	Add example blocks and clean up
2026-04-04T18:58:24.024018	46f48e6	0.9000	0.6100	0.8571	1.0000	0.8571	KEEP	Fix heuristic: use <example> XML tags
2026-04-04T18:58:41.117518	46f48e6	0.8000	0.6100	0.7143	1.0000	0.6667	KEEP	Add explicit keywords (4+ chars only)
2026-04-04T18:59:05.468587	46f48e6	0.9500	0.6100	0.9286	1.0000	0.9333	KEEP	Use block scalar for keywords and add more
2026-04-04T18:59:26.808935	46f48e6	0.9500	0.6100	0.9286	1.0000	0.9333	KEEP	Remove broad bridge words 'mermaid' and 'diagram'
2026-04-04T18:59:39.735075	46f48e6	1.0000	0.6100	1.0000	1.0000	1.0000	KEEP	Remove 'syntax' keyword to eliminate false positive
2026-04-04T18:59:49.628212	46f48e6	1.0000	0.6100	1.0000	1.0000	1.0000	KEEP	Final polish: add raster keywords
2026-04-04T19:31:11.720964	78d9ddc	0.8100	0.6100	0.8571	0.7000	0.8571	KEEP	Iter 1: Add examples and specific keywords
2026-04-04T19:32:23.974190	b0a6dee	0.9000	0.6100	0.8571	1.0000	0.8571	KEEP	Iter 2: Add keywords field and XML examples
2026-04-04T19:33:21.937934	440f430	1.0000	0.6100	1.0000	1.0000	1.0000	KEEP	Iter 3: Distinctive keywords only, no bridge words
2026-04-04T19:34:13.843881	440f430	0.8000	0.6100	0.7143	1.0000	0.7500	KEEP	Iter 4: Refine for conciseness
2026-04-04T19:35:01.010725	440f430	0.7500	0.6100	0.6429	1.0000	0.6667	KEEP	Iter 5: Refine keywords for distinctiveness
2026-04-04T19:35:33.523046	440f430	0.9000	0.6100	0.8571	1.0000	0.8571	KEEP	Iter 6: Add rasterization keywords
2026-04-04T19:38:04.375807	4ba908d	0.8500	0.6100	0.7857	1.0000	0.7273	KEEP	Iter 9: Professional refinement
2026-04-04T19:38:44.064131	4ba908d	0.8500	0.6100	0.7857	1.0000	0.7273	KEEP	Iter 10: Professional refinement
2026-04-04T19:39:01.822260	4ba908d	1.0000	0.6100	1.0000	1.0000	1.0000	KEEP	Final verification of 1.00 score
